date,workload
2020-01-22,184.0
2020-01-23,524.0
2020-01-24,729.0
2020-01-25,1174.0
2020-01-26,1475.0
2020-01-27,2569.0
2020-01-28,3269.0
2020-01-29,3224.0
2020-01-30,3749.0
2020-01-31,4134.0
2020-02-01,4729.0
2020-02-02,5444.0
2020-02-03,6070.0
2020-02-04,12506.0
2020-02-05,7641.0
2020-02-06,6872.0
2020-02-07,6558.0
2020-02-08,6075.0
2020-02-09,5672.0
2020-02-10,5471.0
2020-02-11,4512.0
2020-02-12,3857.0
2020-02-13,3842.0
2020-02-14,18923.0
2020-02-15,3805.0
2020-02-16,19540.0
2020-02-17,4133.0
2020-02-18,3616.0
2020-02-19,4322.0
2020-02-20,1013.0
2020-02-21,2131.0
2020-02-22,2258.0
2020-02-23,2021.0
2020-02-24,1198.0
2020-02-25,1899.0
2020-02-26,2037.0
2020-02-27,2795.0
2020-02-28,3035.0
2020-02-29,4216.0
2020-03-01,5020.0
2020-03-02,4361.0
2020-03-03,4989.0
2020-03-04,5286.0
2020-03-05,5949.0
2020-03-06,8156.0
2020-03-07,10106.0
2020-03-08,10453.0
2020-03-09,10364.0
2020-03-10,12042.0
2020-03-11,14617.0
2020-03-12,17585.0
2020-03-13,20661.0
2020-03-14,26543.0
2020-03-15,33753.0
2020-03-16,34779.0
2020-03-17,36127.0
2020-03-18,50873.0
2020-03-19,92888.0
2020-03-20,83960.0
2020-03-21,94897.0
2020-03-22,96441.0
2020-03-23,116963.0
2020-03-24,117402.0
2020-03-25,137304.0
2020-03-26,175209.0
2020-03-27,172431.0
2020-03-28,189034.0
2020-03-29,161017.0
2020-03-30,183610.0
2020-03-31,211825.0
2020-04-01,222554.0
2020-04-02,246822.0
2020-04-03,251742.0
2020-04-04,260645.0
2020-04-05,231906.0
2020-04-06,225816.0
2020-04-07,247459.0
2020-04-08,280184.0
2020-04-09,259128.0
2020-04-10,281000.0
2020-04-11,242895.0
2020-04-12,281484.0
2020-04-13,202393.0
2020-04-14,244804.0
2020-04-15,258095.0
2020-04-16,273750.0
2020-04-17,254750.0
2020-04-18,242510.0
2020-04-19,232831.0
2020-04-20,256183.0
2020-04-21,233277.0
2020-04-22,250138.0
2020-04-23,284455.0
2020-04-24,274863.0
2020-04-25,252582.0
2020-04-26,177416.0
2020-04-27,228647.0
2020-04-28,254641.0
2020-04-29,248669.0
2020-04-30,243476.0
2020-05-01,301734.0
2020-05-02,256343.0
2020-05-03,235263.0
2020-05-04,242226.0
2020-05-05,259654.0
2020-05-06,280015.0
2020-05-07,288893.0
2020-05-08,275041.0
2020-05-09,245626.0
2020-05-10,220805.0
2020-05-11,226551.0
2020-05-12,273406.0
2020-05-13,286617.0
2020-05-14,304045.0
2020-05-15,289872.0
2020-05-16,258136.0
2020-05-17,243620.0
2020-05-18,282095.0
2020-05-19,281385.0
2020-05-20,315130.0
2020-05-21,314757.0
2020-05-22,306025.0
2020-05-23,299097.0
2020-05-24,268733.0
2020-05-25,270774.0
2020-05-26,321536.0
2020-05-27,341706.0
2020-05-28,355826.0
2020-05-29,373984.0
2020-05-30,309754.0
2020-05-31,304349.0
2020-06-01,288478.0
2020-06-02,346785.0
2020-06-03,360485.0
2020-06-04,393922.0
2020-06-05,385490.0
2020-06-06,358363.0
2020-06-07,326479.0
2020-06-08,324279.0
2020-06-09,417073.0
2020-06-10,356194.0
2020-06-11,477726.0
2020-06-12,367595.0
2020-06-13,363404.0
2020-06-14,369196.0
2020-06-15,383058.0
2020-06-16,481310.0
2020-06-17,448287.0
2020-06-18,451391.0
2020-06-19,525083.0
2020-06-20,390117.0
2020-06-21,515983.0
2020-06-22,432910.0
2020-06-23,421126.0
2020-06-24,607283.0
2020-06-25,520471.0
2020-06-26,602911.0
2020-06-27,492005.0
2020-06-28,496757.0
2020-06-29,492693.0
2020-06-30,512645.0
2020-07-01,509030.0
2020-07-02,577765.0
2020-07-03,640618.0
2020-07-04,547787.0
2020-07-05,521819.0
2020-07-06,580802.0
2020-07-07,665060.0
2020-07-08,708643.0
2020-07-09,682559.0
2020-07-10,619063.0
2020-07-11,667570.0
2020-07-12,644347.0
2020-07-13,696960.0
2020-07-14,669346.0
2020-07-15,792020.0
2020-07-16,817976.0
2020-07-17,729008.0
2020-07-18,755969.0
2020-07-19,674953.0
2020-07-20,644180.0
2020-07-21,769921.0
2020-07-22,1086491.0
2020-07-23,873807.0
2020-07-24,888843.0
2020-07-25,749087.0
2020-07-26,716098.0
2020-07-27,803003.0
2020-07-28,806551.0
2020-07-29,890214.0
2020-07-30,838661.0
2020-07-31,832885.0
2020-08-01,802354.0
2020-08-02,788684.0
2020-08-03,750524.0
2020-08-04,748311.0
2020-08-05,949540.0
2020-08-06,809657.0
2020-08-07,959009.0
2020-08-08,830462.0
2020-08-09,704541.0
2020-08-10,756442.0
2020-08-11,828982.0
2020-08-12,789943.0
2020-08-13,1094936.0
2020-08-14,856832.0
2020-08-15,831767.0
2020-08-16,606023.0
2020-08-17,708261.0
2020-08-18,770381.0
2020-08-19,882646.0
2020-08-20,882161.0
2020-08-21,692625.0
2020-08-22,863518.0
2020-08-23,551268.0
2020-08-24,753636.0
2020-08-25,856787.0
2020-08-26,858044.0
2020-08-27,893665.0
2020-08-28,791222.0
2020-08-29,813332.0
2020-08-30,734087.0
2020-08-31,805452.0
2020-09-01,802913.0
2020-09-02,888451.0
2020-09-03,911989.0
2020-09-04,856785.0
2020-09-05,890211.0
2020-09-06,727602.0
2020-09-07,707049.0
2020-09-08,696274.0
2020-09-09,950010.0
2020-09-10,1101566.0
2020-09-11,1014343.0
2020-09-12,848899.0
2020-09-13,812594.0
2020-09-14,898205.0
2020-09-15,966147.0
2020-09-16,1022313.0
2020-09-17,989550.0
2020-09-18,1001536.0
2020-09-19,857729.0
2020-09-20,838322.0
2020-09-21,883866.0
2020-09-22,963266.0
2020-09-23,1007408.0
2020-09-24,1027536.0
2020-09-25,924293.0
2020-09-26,889199.0
2020-09-27,708104.0
2020-09-28,906896.0
2020-09-29,958926.0
2020-09-30,1055699.0
2020-10-01,1000895.0
2020-10-02,995772.0
2020-10-03,815592.0
2020-10-04,836886.0
2020-10-05,955745.0
2020-10-06,1052060.0
2020-10-07,1089394.0
2020-10-08,1067193.0
2020-10-09,1048164.0
2020-10-10,948544.0
2020-10-11,970238.0
2020-10-12,912094.0
2020-10-13,1013636.0
2020-10-14,1191017.0
2020-10-15,1156981.0
2020-10-16,1149557.0
2020-10-17,959119.0
2020-10-18,1042522.0
2020-10-19,1068864.0
2020-10-20,1151470.0
2020-10-21,1166120.0
2020-10-22,858927.0
2020-10-23,1315400.0
2020-10-24,1195227.0
2020-10-25,1134774.0
2020-10-26,1236758.0
2020-10-27,1372745.0
2020-10-28,1456346.0
2020-10-29,1399570.0
2020-10-30,1578002.0
2020-10-31,1280784.0
2020-11-01,1194390.0
2020-11-02,1243006.0
2020-11-03,1401919.0
2020-11-04,1647364.0
2020-11-05,1935626.0
2020-11-06,1698599.0
2020-11-07,1341755.0
2020-11-08,1487485.0
2020-11-09,1502838.0
2020-11-10,1755186.0
2020-11-11,1605463.0
2020-11-12,2082451.0
2020-11-13,1750639.0
2020-11-14,1405119.0
2020-11-15,1529809.0
2020-11-16,1560926.0
2020-11-17,1871148.0
2020-11-18,1648230.0
2020-11-19,2259765.0
2020-11-20,1739636.0
2020-11-21,1609627.0
2020-11-22,1475371.0
2020-11-23,1574882.0
2020-11-24,1860362.0
2020-11-25,1714337.0
2020-11-26,1850113.0
2020-11-27,1699079.0
2020-11-28,1616110.0
2020-11-29,1441597.0
2020-11-30,1603167.0
2020-12-01,1866521.0
2020-12-02,1965803.0
2020-12-03,1993439.0
2020-12-04,1880463.0
2020-12-05,1934162.0
2020-12-06,1434673.0
2020-12-07,1994865.0
2020-12-08,1600667.0
2020-12-09,2296360.0
2020-12-10,1950184.0
2020-12-11,2896365.0
2020-12-12,2324473.0
2020-12-13,1305997.0
2020-12-14,2078282.0
2020-12-15,1316142.0
2020-12-16,2150062.0
2020-12-17,1969599.0
2020-12-18,2254689.0
2020-12-19,1736642.0
2020-12-20,1822367.0
2020-12-21,1718277.0
2020-12-22,1962135.0
2020-12-23,2231421.0
2020-12-24,1696468.0
2020-12-25,1520689.0
2020-12-26,1482815.0
2020-12-27,1359105.0
2020-12-28,1866950.0
2020-12-29,2063401.0
2020-12-30,2346634.0
2020-12-31,2004648.0
2021-01-01,1773456.0
2021-01-02,1755920.0
2021-01-03,1685619.0
2021-01-04,1894102.0
2021-01-05,2044128.0
2021-01-06,2732990.0
2021-01-07,2064917.0
2021-01-08,2867418.0
2021-01-09,2114994.0
2021-01-10,1947310.0
2021-01-11,1955657.0
2021-01-12,2127639.0
2021-01-13,2270072.0
2021-01-14,1948123.0
2021-01-15,2398221.0
2021-01-16,2150904.0
2021-01-17,1562527.0
2021-01-18,1606518.0
2021-01-19,1803879.0
2021-01-20,1977054.0
2021-01-21,2228717.0
2021-01-22,1750127.0
2021-01-23,1561499.0
2021-01-24,1423587.0
2021-01-25,1616970.0
2021-01-26,1491848.0
2021-01-27,1971811.0
2021-01-28,1633655.0
2021-01-29,1701502.0
2021-01-30,1380368.0
2021-01-31,1236784.0
2021-02-01,1091402.0
2021-02-02,1552532.0
2021-02-03,1483043.0
2021-02-04,1504804.0
2021-02-05,1369220.0
2021-02-06,1104792.0
2021-02-07,1042713.0
2021-02-08,916729.0
2021-02-09,1300486.0
2021-02-10,1152778.0
2021-02-11,1370032.0
2021-02-12,1178405.0
2021-02-13,962976.0
2021-02-14,821701.0
2021-02-15,737906.0
2021-02-16,1229283.0
2021-02-17,1165994.0
2021-02-18,1041129.0
2021-02-19,1073303.0
2021-02-20,1012649.0
2021-02-21,707642.0
2021-02-22,1152708.0
2021-02-23,1163462.0
2021-02-24,1077041.0
2021-02-25,1218715.0
2021-02-26,1319852.0
2021-02-27,1107180.0
2021-02-28,884847.0
2021-03-01,957072.0
2021-03-02,990686.0
2021-03-03,1236577.0
2021-03-04,1077459.0
2021-03-05,1119659.0
2021-03-06,1095257.0
2021-03-07,1086494.0
2021-03-08,941595.0
2021-03-09,1080725.0
2021-03-10,1145122.0
2021-03-11,1601187.0
2021-03-12,1269891.0
2021-03-13,1147658.0
2021-03-14,708186.0
2021-03-15,1318451.0
2021-03-16,1320515.0
2021-03-17,1512921.0
2021-03-18,1244768.0
2021-03-19,1467655.0
2021-03-20,1360810.0
2021-03-21,1308317.0
2021-03-22,1218897.0
2021-03-23,1008638.0
2021-03-24,1000087.0
2021-03-25,1509618.0
2021-03-26,116659.0
2021-03-27,105793.0
2021-03-28,121204.0
2021-03-29,106842.0
2021-03-30,1377393.0
2021-03-31,2631747.0
2021-04-01,1923919.0
2021-04-02,1489204.0
2021-04-03,1335799.0
2021-04-04,1478458.0
2021-04-05,1413786.0
2021-04-06,1568161.0
2021-04-07,2142778.0
2021-04-08,2572481.0
2021-04-09,2414407.0
2021-04-10,2072474.0
2021-04-11,1780979.0
2021-04-12,1931504.0
2021-04-13,2515123.0
2021-04-14,2127595.0
2021-04-15,2634774.0
2021-04-16,2793427.0
2021-04-17,2235721.0
2021-04-18,2131605.0
2021-04-19,2438416.0
2021-04-20,2313200.0
2021-04-21,2889191.0
2021-04-22,2684949.0
2021-04-23,3026310.0
2021-04-24,2440176.0
2021-04-25,2285897.0
2021-04-26,2590430.0
2021-04-27,2761536.0
2021-04-28,2892568.0
2021-04-29,2868684.0
2021-04-30,2580239.0
2021-05-01,2423621.0
2021-05-02,2269244.0
2021-05-03,2667280.0
2021-05-04,2483205.0
2021-05-05,3033192.0
2021-05-06,2872916.0
2021-05-07,2556664.0
2021-05-08,2278779.0
2021-05-09,2292732.0
2021-05-10,2314220.0
2021-05-11,2191807.0
2021-05-12,2461609.0
2021-05-13,1998656.0
2021-05-14,2160152.0
2021-05-15,2579356.0
2021-05-16,1729566.0
2021-05-17,1969440.0
2021-05-18,2095286.0
2021-05-19,2036728.0
2021-05-20,2122841.0
2021-05-21,1641095.0
2021-05-22,1805146.0
2021-05-23,1415884.0
2021-05-24,1243312.0
2021-05-25,1667785.0
2021-05-26,1765694.0
2021-05-27,1605858.0
2021-05-28,1573652.0
2021-05-29,1408530.0
2021-05-30,1231622.0
2021-05-31,1270358.0
2021-06-01,1405293.0
2021-06-02,1434923.0
2021-06-03,1428243.0
2021-06-04,1352483.0
2021-06-05,950692.0
2021-06-06,981151.0
2021-06-07,981056.0
2021-06-08,1200656.0
2021-06-09,1181087.0
2021-06-10,1254319.0
2021-06-11,1181893.0
2021-06-12,975727.0
2021-06-13,942693.0
2021-06-14,997040.0
2021-06-15,1027504.0
2021-06-16,1055061.0
2021-06-17,1254257.0
2021-06-18,1145525.0
2021-06-19,963820.0
2021-06-20,793462.0
2021-06-21,840436.0
2021-06-22,1271261.0
2021-06-23,1129121.0
2021-06-24,1162361.0
2021-06-25,1050800.0
2021-06-26,1037862.0
2021-06-27,851504.0
2021-06-28,982778.0
2021-06-29,1057157.0
2021-06-30,1124871.0
2021-07-01,1214400.0
2021-07-02,1076794.0
2021-07-03,987968.0
2021-07-04,928378.0
2021-07-05,1037045.0
2021-07-06,1356392.0
2021-07-07,1067217.0
2021-07-08,1402619.0
2021-07-09,1165551.0
2021-07-10,1199434.0
2021-07-11,789008.0
2021-07-12,1366121.0
2021-07-13,378810.0
2021-07-14,1194497.0
2021-07-15,1807744.0
2021-07-16,1373260.0
2021-07-17,1268410.0
2021-07-18,1008619.0
2021-07-19,1509969.0
2021-07-20,1327894.0
2021-07-21,1422861.0
2021-07-22,2026486.0
2021-07-23,1106440.0
2021-07-24,1617987.0
2021-07-25,1190717.0
2021-07-26,1463609.0
2021-07-27,1454320.0
2021-07-28,1623140.0
2021-07-29,2353515.0
2021-07-30,1605388.0
2021-07-31,1386747.0
2021-08-01,1360326.0
2021-08-02,1614661.0
2021-08-03,1928280.0
2021-08-04,1804184.0
2021-08-05,2028653.0
2021-08-06,1511856.0
2021-08-07,1390175.0
2021-08-08,1479638.0
2021-08-09,1744410.0
2021-08-10,2049496.0
2021-08-11,1737867.0
2021-08-12,2092499.0
2021-08-13,1597498.0
2021-08-14,1297188.0
2021-08-15,1410365.0
2021-08-16,1757630.0
2021-08-17,2007494.0
